"IB8A";"QW1A";"LU13TRUU";"LU35TRUU";"LU57TRUU";"LU71TRUU";"LU10TRUU";"LU3ATRUU";"LU2ATRUU";"LU1ATRUU";"LUBATRUU";"LUATTRUU";"LUACTRUU"
137.11;136.0337;187.38;205.43;213.81;228.85;261.39;214.96;233.77;231.69;244.38;1369.46;1505.75
137.13;136.074;187.37;205.37;213.74;228.84;262.02;214.99;233.95;231.82;244.41;1370.36;1506.48
137.44;136.3858;187.49;205.52;213.9;229.05;261.98;215.15;234.05;231.91;244.44;1371.13;1506.73
137.63;136.5572;187.4;205.41;213.85;229.05;262;215.11;233.92;231.81;244.34;1370.37;1505.96
137.84;136.7104;187.41;205.43;213.88;229.18;262.58;215.22;234.06;231.92;244.41;1371.25;1506.55
137.81;136.6725;187.43;205.55;214.11;229.6;263.85;215.49;234.47;232.39;244.94;1373.77;1509.73
137.86;136.683;187.49;205.69;214.31;229.87;264.18;215.69;234.59;232.53;245.11;1374.66;1510.63
138.18;136.9846;187.58;205.94;214.68;230.45;265.79;216.1;235.14;233.15;245.88;1378.36;1514.89
138.19;137.0571;187.42;205.7;214.39;230.14;265.12;215.87;234.83;232.68;245.14;1376.36;1511.12
138.32;137.2276;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
138.35;137.3189;187.47;205.76;214.52;230.42;266.14;216.09;235.15;233;245.4;1378.56;1512.96
138.44;137.4894;187.51;205.81;214.61;230.61;266.62;216.21;235.29;233.18;245.59;1379.18;1513.99
137.9;137.0388;187.64;206.05;214.88;230.94;267.06;216.47;235.65;233.54;245.8;1381.12;1515.84
138;137.1006;187.79;206.32;215.18;231.24;267.47;216.73;236;233.91;246.13;1383.04;1518.03
138.29;137.3898;187.76;206.27;215.21;231.35;268.61;216.79;236.24;234.23;246.71;1384.5;1520.71
138.4;137.4293;187.68;206.03;214.83;230.75;266.86;216.36;235.6;233.5;245.99;1380.34;1516.13
138.31;137.2911;187.6;205.93;214.76;230.64;267.06;216.27;235.55;233.49;246.14;1379.84;1516.51
138.13;137.1032;187.59;205.86;214.64;230.54;267;216.19;235.45;233.45;246.13;1379.18;1516.34
138.54;137.4035;187.73;206.11;215.04;231.17;268.76;216.62;236.16;234.23;246.98;1383.65;1521.5
138.71;137.5612;187.66;206.09;215.1;231.36;269.39;216.72;236.18;234.26;247.22;1384.37;1521.97
138.79;137.5734;187.67;206.06;215.05;231.29;269.36;216.69;236.16;234.26;247.24;1384.25;1522.02
